City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Souillac,MU,2022-07-06 14:51:48,-20.5167,57.5167,70.18,60,75,11.5
151,Kapaa,US,2022-07-06 14:51:48,22.0752,-159.319,77.32,88,0,16.11
152,Khandbari,NP,2022-07-06 14:51:48,27.3747,87.2039,75.13,92,99,1.54
153,Chokurdakh,RU,2022-07-06 14:51:48,70.6333,147.9167,46.22,58,99,9.98
154,Narsaq,GL,2022-07-06 14:51:49,60.9167,-46.05,48.96,78,100,5.06
155,Chuy,UY,2022-07-06 14:51:12,-33.6971,-53.4616,57.96,91,100,10.87
156,Qinzhou,CN,2022-07-06 14:51:49,21.95,108.6167,79.79,91,100,4.38
157,Hay River,CA,2022-07-06 14:51:49,60.8156,-115.7999,60.78,72,75,0.0
158,San Cristobal,VE,2022-07-06 14:51:49,7.7669,-72.225,73.58,58,45,7.72
159,Rio Gallegos,AR,2022-07-06 14:51:50,-51.6226,-69.2181,24.85,100,100,3.44
160,Alugan,PH,2022-07-06 14:51:50,12.2188,125.4808,79.68,81,42,2.24
161,Kavieng,PG,2022-07-06 14:51:50,-2.5744,150.7967,81.12,80,79,11.61
162,Atasu,KZ,2022-07-06 14:51:50,48.6814,71.6433,65.73,54,89,3.74
163,Nevinnomyssk,RU,2022-07-06 14:51:51,44.6267,41.9453,78.17,44,0,12.75
164,Ponferrada,ES,2022-07-06 14:51:51,42.5466,-6.5962,87.82,34,0,5.01
165,Barra Do Garcas,BR,2022-07-06 14:48:19,-15.89,-52.2567,81.18,36,0,6.91
166,Tasiilaq,GL,2022-07-06 14:50:41,65.6145,-37.6368,38.5,84,100,6.55
167,Barrow,US,2022-07-06 14:51:51,71.2906,-156.7887,42.82,87,100,0.0
168,Klichka,RU,2022-07-06 14:51:51,50.4457,117.996,57.15,86,76,4.14
169,Noyabrsk,RU,2022-07-06 14:47:58,63.1994,75.4507,66.43,59,35,6.91
170,Bocas Del Toro,PA,2022-07-06 14:51:52,9.3333,-82.25,80.51,75,100,3.18
171,Hamilton,US,2022-07-06 14:51:52,39.1834,-84.5333,86.88,79,0,10.36
172,Atambua,ID,2022-07-06 14:51:52,-9.1061,124.8925,65.59,81,20,5.73
173,Batemans Bay,AU,2022-07-06 14:51:52,-35.7167,150.1833,56.1,82,100,6.82
174,Namibe,AO,2022-07-06 14:51:53,-15.1961,12.1522,70.23,70,7,9.98
175,College,US,2022-07-06 14:48:12,64.8569,-147.8028,63.81,86,75,5.75
176,Alofi,NU,2022-07-06 14:51:53,-19.0595,-169.9187,69.69,88,96,3.44
177,Saint-Pierre,RE,2022-07-06 14:48:02,-21.3393,55.4781,69.91,67,20,14.97
