City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Hajnowka,PL,52.7433,23.5812,66.45,58,92,8.66,overcast clouds
254,Tomatlan,MX,19.9333,-105.25,82.89,61,74,2.01,broken clouds
255,Popondetta,PG,-8.7537,148.2534,72.68,95,69,3.2,broken clouds
256,Castro,BR,-24.7911,-50.0119,70.16,49,51,7.11,broken clouds
257,Kavaratti,IN,10.5669,72.642,81.32,82,100,19.82,overcast clouds
258,Mastic Beach,US,40.7668,-72.8521,82.06,57,97,10.0,overcast clouds
259,Codrington,AU,-38.2667,141.9667,43.5,92,1,7.25,clear sky
260,Boa Vista,BR,2.8197,-60.6733,83.26,72,83,6.55,broken clouds
261,Airai,TL,-8.9266,125.4092,56.61,92,89,3.65,overcast clouds
262,Pasighat,IN,28.0667,95.3333,79.93,93,18,3.15,few clouds
263,Chiang Rai,TH,19.9167,99.9167,82.38,85,20,2.3,few clouds
264,Mahon,ES,39.8885,4.2658,86.56,37,0,12.66,clear sky
265,Necochea,AR,-38.5473,-58.7368,51.26,85,98,12.15,overcast clouds
266,Pattani,TH,6.75,100.4167,82.11,91,100,1.7,overcast clouds
267,Yarada,IN,17.65,83.2667,80.13,83,55,18.84,light rain
268,Vladicin Han,RS,42.7078,22.0633,60.37,97,100,4.5,overcast clouds
269,Kahului,US,20.8947,-156.47,74.97,93,99,10.0,overcast clouds
270,Gimli,CA,50.6336,-96.9907,69.21,75,41,12.8,scattered clouds
271,Faya,SA,18.3851,42.4509,69.89,37,99,10.16,light rain
272,General Roca,AR,-39.0333,-67.5833,51.35,38,10,9.69,clear sky
273,Harwich,GB,51.9419,1.2844,76.35,67,20,10.0,few clouds
274,Adet,ET,11.2644,37.4888,57.16,94,100,2.26,light rain
275,Tezu,IN,27.9167,96.1667,78.62,93,12,3.31,few clouds
276,Nicolas Bravo,MX,18.45,-88.9167,84.42,66,75,5.57,broken clouds
277,Atar,MR,20.5169,-13.0499,106.65,18,32,14.83,scattered clouds
278,Tarancon,ES,40.0085,-3.0073,93.22,16,0,4.09,clear sky
